Permit,Worktype,IssuedTo,Date,Address,Parcel,Units,Legal,ValuationUSD
R19-2637,BldgAlter,ANCHORAGE SOLAR,2019,W 2108 46TH,1023316000,NA,NORTH STAR BLK  D LT  11  G:1828,9735
R19-2664,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 2423 MARSTON,122423000,NA,SIMONSON ESTATES BLK,16000
R19-2668,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2426 SUSITNA,122324000,NA,TURNAGAIN HOMES BLK  R LT 8  G:1526,16000
R19-2767,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4046 WESTWOOD,121153000,NA,WEST TURNAGAIN BLK  2 LT   8  G:1525,25000
R19-2818,BldgAlter,ANCHORAGE SOLAR,2019,2831 WILEY POST,1013108000,NA,BROADMOOR ESTATES #2 BLK  9 LT  19  G:1727,16170
R19-2827,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2501 SUSITNA,122317000,NA,TURNAGAIN HOMES BLK  Q LT  23  G:1526,15000
R19-2848,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,3205 WYOMING,1009753000,NA,WOODLAND PARK #2 BLK   2 LT  12A G:1628,35990
R19-2937,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,5701 YUKON CHARLIE,1131215000,NA,WESTPARK ADDN 5 BLK  9 LT  15  G:2223,4000
R19-2943,BldgAlter,ANCHORAGE SOLAR,2019,4010 WORONZOF,1005359000,NA,TURNAGAIN WEST BLK  2 LT  26  G:1625,15760
R19-2946,BldgAlter,ANCHORAGE SOLAR,2019,6912 CUTTY SARK,1108207000,NA,SCOTTISH HILLS BLK  1 LT  30  G:2125,11880
R19-2947,BldgAlter,ANCHORAGE SOLAR,2019,9750 CHENEGA,4102205000,NA,TUXEDNI PARK BLK  1 LT  13  G:2042,15760
R19-2966,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,1628 WOODCUTTER,927355075,NA,FYFE BLK   3 LT   2 WOODED ACRES G:1933,12000
R19-2967,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2271 BELMONT,117323000,NA,HUNTINGTON PARK #5A BLK  5 LT  22  G:1528,15000
R19-3031,BldgAlter,MIDNIGHT SUN SOLAR LLC,2019,3756 HENDERSON,1408139000,NA,GATEWAY BLK  2 LT   2  G:2135,7500
R19-3033,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,N 1848 SALEM,911140000,NA,UNIVERSITY PARK #1 BLK  2 LT  15  G:1733,14990
R19-3034,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,8521 PIONEER,723305000,NA,CHUGACH FOOTHILLS #1 BLK  5 LT  39  G:1741,28788
R19-3098,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,1411 ATKINSON,616742000,NA,NUNAKA VALLEY BLK  C LT  13  G:1438,10799
X19-1271,BldgAlter,ANCHORAGE SOLAR,2019,3737 COVENTRY,1423335000,NA,WINCHESTER HEIGHTS BLK  4 LT  11  G:2235,20030
R17-1263,BldgAlter,ANCHORAGE SOLAR,4/30/17,5201 TAURUS,2009231000,1,LOMA ESTATES BLK   3 LT   2  G:3337,10653
R17-1264,BldgAlter,ANCHORAGE SOLAR,4/30/17,8212 RACE,711647000,1,CHUGACH FOOTHILLS #9 BLK   9 LT  45A  G:1741,6200
