Permit,Worktype,IssuedTo,Date,year,Address,Parcel,Units,Legal,Valuation
R19-2528,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2266 SAINT ELIAS, Anchorage, Alaska",118423000,NA,TURNAGAIN HOMES BLK  L LT   7  G:1527,"20,000.00"
R19-2529,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3850 KNIK, Anchorage, Alaska",122541000,NA,SIMONSON BLK 16A LT   6  G:1526,"15,000.00"
R19-2530,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3724 KNIK, Anchorage, Alaska",122546000,NA,SIMONSON BLK 16A LT   1  G:1526,"13,000.00"
R19-2531,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2513 LORD BARANOF, Anchorage, Alaska",123305000,NA,TURNAGAIN HOMES BLK   D LT 28A  G:1527,"15,000.00"
R19-2533,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4100 BALCHEN, Anchorage, Alaska",1019128000,NA,BROADMOOR ESTATES BLK  2 LT  21  G:1727,"15,000.00"
R19-2534,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2100 FORAKER, Anchorage, Alaska",119212000,NA,PARK BLK   R LT  19  G:1526,"15,000.00"
R19-2584,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1210 N, Anchorage, Alaska",108468000,NA,SOUTH ADDITION BLK 26C LT   1  G:1329,"10,150.00"
R19-2585,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3404 LAKESIDE, Anchorage, Alaska",1242124000,NA,CAMPBELL LAKE HEIGHTS BLK  1 LT  16  G:2426,"19,800.00"
R19-2586,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1228 15TH, Anchorage, Alaska",109453000,NA,SOUTH ADDITION BLK 44A LT   2A  G:1429,"14,930.00"
R19-2589,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1525 HIDDEN LANE, Anchorage, Alaska",110114000,NA,SOUTH ADDITION BLK 46 LT  19  G:1428,"1,597.00"
R19-2627,BldgAlter,ANCHORAGE SOLAR,2019,2019,"E 115 11TH, Anchorage, Alaska",213654000,NA,THIRD ADDITION BLK 13 LT  26  G:1331,"12,951.00"
R19-2628,BldgAlter,ANCHORAGE SOLAR,2019,2019,"E 2825 18TH, Anchorage, Alaska",414244000,NA,SAXTON BLK  9 LT   9  G:1434,"11,880.00"
R19-2636,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1518 K, Anchorage, Alaska",109314000,NA,MARTIN AND WELCH (SOUTH ADD) BLK 43A LT,"12,100.00"
R19-2637,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 2108 46TH, Anchorage, Alaska",1023316000,NA,NORTH STAR BLK  D LT  11  G:1828,"9,735.00"
"R19-2664
",BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"W 2423 MARSTON, Anchorage, Alaska",122423000,NA,SIMONSON ESTATES BLK,"16,000.00"
R19-2668,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2426 SUSITNA, Anchorage, Alaska",122324000,NA,TURNAGAIN HOMES BLK  R LT 8  G:1526,"16,000.00"
R19-2767,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4046 WESTWOOD, Anchorage, Alaska",121153000,NA,WEST TURNAGAIN BLK  2 LT   8  G:1525,"25,000.00"
R19-2818,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2831 WILEY POST, Anchorage, Alaska",1013108000,NA,BROADMOOR ESTATES #2 BLK  9 LT  19  G:1727,"16,170.00"
R19-2827,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2501 SUSITNA, Anchorage, Alaska",122317000,NA,TURNAGAIN HOMES BLK  Q LT  23  G:1526,"15,000.00"
R19-2848,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"3205 WYOMING, Anchorage, Alaska",1009753000,NA,WOODLAND PARK #2 BLK   2 LT  12A G:1628,"35,990.00"
R19-2937,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"5701 YUKON CHARLIE LOOP, Anchorage, Alaska",1131215000,NA,WESTPARK ADDN 5 BLK  9 LT  15  G:2223,"4,000.00"
R19-2943,BldgAlter,ANCHORAGE SOLAR,2019,2019,"4010 WORONZOF, Anchorage, Alaska",1005359000,NA,TURNAGAIN WEST BLK  2 LT  26  G:1625,"15,760.00"
R19-2946,BldgAlter,ANCHORAGE SOLAR,2019,2019,"6912 CUTTY SARK, Anchorage, Alaska",1108207000,NA,SCOTTISH HILLS BLK  1 LT  30  G:2125,"11,880.00"
R19-2947,BldgAlter,ANCHORAGE SOLAR,2019,2019,"9750 CHENEGA, Anchorage, Alaska",4102205000,NA,TUXEDNI PARK BLK  1 LT  13  G:2042,"15,760.00"
R19-2966,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"1628 WOODCUTTER COURT, Anchorage, Alaska",927355075,NA,FYFE BLK   3 LT   2 WOODED ACRES G:1933,"12,000.00"
R19-2967,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2271 BELMONT, Anchorage, Alaska",117323000,NA,HUNTINGTON PARK #5A BLK  5 LT  22  G:1528,"15,000.00"
R19-3031,BldgAlter,MIDNIGHT SUN SOLAR LLC,2019,2019,"3756 HENDERSON, Anchorage, Alaska",1408139000,NA,GATEWAY BLK  2 LT   2  G:2135,"7,500.00"
R19-3033,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"N 1848 SALEM, Anchorage, Alaska",911140000,NA,UNIVERSITY PARK #1 BLK  2 LT  15  G:1733,"14,990.00"
R19-3034,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"8521 PIONEER, Anchorage, Alaska",723305000,NA,CHUGACH FOOTHILLS #1 BLK  5 LT  39  G:1741,"28,788.00"
R19-3098,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"1411 ATKINSON, Anchorage, Alaska",616742000,NA,NUNAKA VALLEY BLK  C LT  13  G:1438,"10,799.00"
X19-1271,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3737 COVENTRY, Anchorage, Alaska",1423335000,NA,WINCHESTER HEIGHTS BLK  4 LT  11  G:2235,"20,030.00"
R17-1263,BldgAlter,ANCHORAGE SOLAR,4/30/17,2017,"5201 TAURUS CIRCLE, Anchorage, Alaska",2009231000,1,LOMA ESTATES BLK   3 LT   2  G:3337,10653
R17-1264,BldgAlter,ANCHORAGE SOLAR,4/30/17,2017,"8212 RACE CIRCLE, Anchorage, Alaska",711647000,1,CHUGACH FOOTHILLS #9 BLK   9 LT  45A  G:1741,6200
R17-1293,BldgAlter,ANCHORAGE SOLAR,4/30/17,2017,"E 5542 97TH, Anchorage, Alaska",1507213000,1,SUMMIT ESTATES BLK   2 LT   6  G:2437,13992
R17-1294,BldgAlter,ANCHORAGE SOLAR,4/30/17,2017,"1407 INLET PLACE, Anchorage, Alaska",109344000,1,SOUTH ADDITION BLK  35C LT   7A  G:1429,21000
C17-1493,BldgAlter,ANCHORAGE SOLAR,5/31/17,2017,"2301 SPENARD, Anchorage, Alaska",116455000,0,ROMIG PARK BLK   4 LT   9A  G:1529,"26,800.00"
R17-1474,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,2017,"1957 WILDWOOD, Anchorage, Alaska",114343000,0,LINGO LT   1A  G:1428,"17,502.00"
R17-1475,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,2017,"12800 HUFFMAN, Anchorage, Alaska",1808149000,0,HUFFMAN HILLS NORTH BLK   2 LT   6  G:2833,"12,710.00"
R17-1476,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,2017,"10611 TAHNEETA, Anchorage, Alaska",1511250000,0,SHELL #1 LT   1A  G:2536,"12,170.00"
R17-1573,BldgAlter,ANCHORAGE SOLAR,5/31/17,2017,"10641 ELIES, Anchorage, Alaska",1513427000,0,LAKEWOOD HILLS #4 BLK   1 LT   5  G:2540,"16,128.00"
C17-1590,BldgAlter,LIME SOLAR LLC,6/30/17,2017,"6637 ARCTIC SPUR, Anchorage, Alaska",1208111000,0,ARCTIC INDUSTRIAL #2 BLK   1 LT  11  G:2029,"60,000.00"
R17-1664,BldgAlter,ANCHORAGE SOLAR,6/30/17,2017,"17053 ARIES COURT, Anchorage, Alaska",2009127000,0,SUSITNA VIEW ESTATES BLK   3 LT  11  G:3336,"16,128.00"
R17-1880,BldgAlter,ANCHORAGE SOLAR,7/31/17,2017,"10001 HAMPTON, Anchorage, Alaska",1513465000,0,HAMPTON HILLS #1 BLK   2 LT  14  G:2540,"13,720.00"
R17-2117,BldgAlter,ANCHORAGE SOLAR,8/31/17,2017,"16001 WIND SONG, Anchorage, Alaska",2004290000,0,PTARMIGAN ROOST BLK   3 LT   5  G:3238,10725
R17-2124,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/17,2017,"3544 DEBARR, Anchorage, Alaska",412301000,0,GRANDVIEW GARDENS BLK   9 LT  10  G:1435,14110
R17-2251,BldgAlter,ANCHORAGE SOLAR,8/31/17,2017,"10610 PACER, Anchorage, Alaska",1511242000,0,O'MALLEY HEIGHTS LT   3A  G:2536,11800
R17-2268,BldgAlter,LIME SOLAR LLC,8/31/17,2017,"2421 MAYLEN, Anchorage, Alaska",1801163000,0,HUFFMAN HILLS NORTH #2 BLK   1 LT  19  G:2833,14000
C17-2004,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,10/31/17,2017,"3800 ALUMNI DRIVE, Anchorage, Alaska",421101000,0,T13N R3W SEC 28 NE4NE4  G:1635,"9,900.00"
R17-2669,BldgAlter,ANCHORAGE SOLAR,11/30/17,2017,"1709 KEPNER, Anchorage, Alaska",623210000,0,NUNAKA VALLEY BLK   W LT   3  G:1438,"13,224.00"
R18-1116,BldgAlter,ANCHORAGE SOLAR,2/28/18,2018,"2024 WILDWOOD, Anchorage, Alaska",114202000,0,LINGO LT  30  G:1428,"11,580.00"
R18-1126,BldgAlter,RENEWABLE ENERGY SYSTEMS,3/31/18,2018,"10501 LONE TREE, Anchorage, Alaska",1532219000,0,VALLI VUE ESTATES #2 BLK   3 LT  44  G:2538,"16,500.00"
R18-1162,BldgAlter,ANCHORAGE SOLAR,3/31/18,2018,"342 ORCHID CIRCLE, Anchorage, Alaska",1804161000,0,BOTANICAL PARK ESTATES LT  14  G:2830,"24,000.00"
R18-1163,BldgAlter,ANCHORAGE SOLAR,3/31/18,2018,"E 5165 172ND, Anchorage, Alaska",2009246000,0,LOMA ESTATES BLK   2 LT   5  G:3337,"24,634.00"
R18-1301,BldgAlter,ANCHORAGE SOLAR,4/30/18,2018,"16800 RANSOM RIDGE, Anchorage, Alaska",2009215000,0,RANSOM RIDGE LT   5  G:3337,"11,328.00"
R18-1416,BldgAlter,ANCHORAGE SOLAR,4/30/18,2018,"E 2710 20TH, Anchorage, Alaska",415322000,0,ANCHOR PARK BLK   7 LT  22  G:1534,"9,882.00"
R18-1428,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/18,2018,"6700 MACBETH DRIVE, Anchorage, Alaska",1551110000,0,MACBETH BLK   2 LT   2  G:2639,"18,000.00"
R18-1496,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"2814 ALDER, Anchorage, Alaska",415421000,0,ANCHOR PARK BLK   7 LT  46  G:1534,"10,974.00"
R18-1578,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"E 3543 19TH, Anchorage, Alaska",413240000,0,THUNDERBIRD TERRACE #1 BLK   7 LT  26  G:1435,"6,195.00"
R18-1583,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"E 2430 16TH, Anchorage, Alaska",414651000,0,CITY VIEW #1 BLK   1 LT  24  G:1434,"15,665.00"
R18-1584,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"E 2318 20TH, Anchorage, Alaska",415203000,0,ANCHOR PARK BLK   6 LT   4  G:1534,"9,590.00"
R18-1585,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"2712 KOBUK, Anchorage, Alaska",414354000,0,CITY VIEW #3 BLK   6 LT  30  G:1434,"15,665.00"
R18-1635,BldgAlter,LIME SOLAR LLC,5/31/18,2018,"7730 EASTBROOK, Anchorage, Alaska",635548000,0,EASTBROOK BLK   1 LT  48  G:1540,"4,800.00"
R18-1703,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"2136 ALDER DRIVE, Anchorage, Alaska",415410000,0,ANCHOR PARK BLK   7 LT  35  G:1534,"10,383.00"
R18-1704,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"3039 ALDER DRIVE, Anchorage, Alaska",415506000,0,ANCHOR PARK BLK   7 LT  54 P-254 G:1534,"10,974.00"
R18-1705,BldgAlter,ANCHORAGE SOLAR,5/31/18,2018,"2410 OAK DRIVE DRIVE, Anchorage, Alaska",415304000,0,ANCHOR PARK BLK   7 LT   4 P-254 G:1534,"7,906.00"
C18-1697,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,2018,"540 MUMFORD, Anchorage, Alaska",404418000,0,MOUNTAIN VIEW BLK  17 LT   2 N3 E2  G:1135,"16,000.00"
R18-1827,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 2300 16TH, Anchorage, Alaska",414645000,0,CITY VIEW #1 BLK   1 LT  18  G:1434,"11,174.00"
R18-1828,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1518 AIRPORT HEIGHTS, Anchorage, Alaska",411242000,0,SAXTON BLK   4 LT  15  G:1434,"10,974.00"
R18-1832,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 2709 17TH, Anchorage, Alaska",414333000,0,CITY VIEW #3 BLK   6 LT   7  G:1434,"10,974.00"
R18-1835,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 2410 17TH, Anchorage, Alaska",414561000,0,CITY VIEW #2 BLK   2 LT  13  G:1434,"7,906.00"
R18-1836,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"2129 SUNRISE, Anchorage, Alaska",415518000,0,ANCHOR PARK BLK   7 LT  65  G:1534,"7,906.00"
R18-1837,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 2739 17TH, Anchorage, Alaska",414330000,0,CITY VIEW #3 BLK   6 LT   4  G:1434,"10,974.00"
R18-1838,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1406 SUNRISE, Anchorage, Alaska",412607000,0,GRANDVIEW GARDENS BLK   2 LT  11B  G:1435,"7,145.00"
R18-1839,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1820 LOGAN STREET, Anchorage, Alaska",414508000,0,CITY VIEW #2 BLK   3 LT  22  G:1434,"8,006.00"
R18-1840,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1820 TOKLAT, Anchorage, Alaska",414539000,0,CITY VIEW #2 BLK   2 LT  22  G:1434,"10,974.00"
R18-1847,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1517 BIRCHWOOD, Anchorage, Alaska",411223000,0,SAXTON BLK   3 LT   2  G:1434,"10,430.00"
R18-1905,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,2018,"W 607 12TH, Anchorage, Alaska",214430000,0,SOUTH ADDITION BLK  22A LT   6  G:1330,"5,000.00"
R18-1906,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,2018,"9770 ATELIER, Anchorage, Alaska",4102250000,0,TUXEDNI PARK WEST BLK   1 LT  12  G:2042,"20,000.00"
R18-1907,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,2018,"1435 M, Anchorage, Alaska",109433000,0,VIEW RIDGE (OF SOUTH ADDN) BLK  35B LT  13  G:1429,"9,000.00"
R18-1908,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,2018,"5703 BIG BEND, Anchorage, Alaska",1128181000,0,WESTPARK ADDN 2C BLK   3 LT  32  G:2223,"6,500.00"
R18-1947,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"W 1104 11TH, Anchorage, Alaska",108339000,0,SOUTH ADDITION BLK  25B LT   1  G:1329,"11,063.00"
R18-1992,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 3154 18TH, Anchorage, Alaska",413153000,0,THUNDERBIRD TERRACE #1 BLK   2 LT  11  G:1435,"20,986.00"
R18-1993,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"E 2400 16TH, Anchorage, Alaska",414648000,0,CITY VIEW #1 BLK   1 LT  21  G:1434,"12,853.00"
R18-1995,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1519 COLUMBINE, Anchorage, Alaska",412408000,0,GRANDVIEW GARDENS BLK   8 LT  18  G:1435,"15,665.00"
R18-1996,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1519 AIRPORT HEIGHTS, Anchorage, Alaska",412644000,0,GRANDVIEW GARDENS BLK   4 LT   3  G:1435,"10,974.00"
R18-1997,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"1830 ALDER, Anchorage, Alaska",414307000,0,CITY VIEW #2 BLK   8 LT  18  G:1434,"7,906.00"
R18-1999,BldgAlter,ANCHORAGE SOLAR,6/30/18,2018,"2800 ALDER, Anchorage, Alaska",415419000,0,ANCHOR PARK BLK   7 LT  44  G:1534,"15,665.00"
R18-2051,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/18,2018,"6250 CRANBERRY, Anchorage, Alaska",1205147000,0,WILK LT   2B  G:2026,"13,990.00"
R18-2052,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/18,2018,"6300 HABICHT, Anchorage, Alaska",607239000,0,RAVENSBRUCH BLK   1 LT   6  G:1239,"20,637.00"
R18-2085,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"1529 BIRCHWOOD, Anchorage, Alaska",411222000,0,SAXTON BLK   3 LT   3  G:1434,"13,836.00"
R18-2086,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"2421 OAK DRIVE, Anchorage, Alaska",415215000,0,ANCHOR PARK BLK   6 LT  16  G:1534,"15,665.00"
R18-2087,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"1902 ALDER DRIVE, Anchorage, Alaska",414310000,0,CITY VIEW #2 BLK   8 LT  21  G:1434,"10,974.00"
R18-2088,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"2434 OAK DRIVE, Anchorage, Alaska",415307000,0,ANCHOR PARK BLK   7 LT   7 P-254 G:1534,"14,844.00"
R18-2089,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"E 2612 20TH, Anchorage, Alaska",415317000,0,ANCHOR PARK BLK   7 LT  17  G:1534,"10,974.00"
R18-2090,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"3018 ALDER DRIVE, Anchorage, Alaska",415502000,0,ANCHOR PARK BLK   7 LT  73  G:1534,"11,075.00"
R18-2120,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"11009 NORTHFLEET, Anchorage, Alaska",1916307000,0,LOOKOUT LANDING PHASE 3 BLK   2 LT  23  G:2627,"15,576.00"
R18-2121,BldgAlter,ANCHORAGE SOLAR,7/31/18,2018,"230 PACIFIC VIEW, Anchorage, Alaska",1805120000,0,OCEAN VIEW WEST #1 BLK   2 LT   4  G:2830,"22,066.00"
C18-1989,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,2018,"502 EAST FIREWEED LANE, Anchorage, Alaska",901454000,0,LAMPERT BLK   2 LT 33A  G:1531,"46,000.00"
R18-2312,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,2018,"1801 TERREBONNE, Anchorage, Alaska",1255401000,0,GRANDE TERRE BLK   1 LT   1  G:2228,"19,000.00"
R18-2344,BldgAlter,ANCHORAGE SOLAR,8/31/18,2018,"1564 BIRCHWOOD, Anchorage, Alaska",411214000,0,SAXTON BLK  10 LT  11  G:1434,"10,140.00"
R18-2346,BldgAlter,ANCHORAGE SOLAR,8/31/18,2018,"1923 KUSKOKWIM, Anchorage, Alaska",414315000,0,CITY VIEW #2 BLK   8 LT  26  G:1434,"7,956.00"
R18-2384,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,2018,"121 WEST 11TH AVENUE, Anchorage, Alaska",214303000,0,THIRD ADDITION BLK  12A LT  10  G:1330,"17,000.00"
R18-2386,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,2018,"11921 WHISPERING SPRUCE, Anchorage, Alaska",1530120000,0,SKY RANCH ESTATES #1 BLK   5 LT  18  G:2737,"21,000.00"
R18-2477,BldgAlter,ANCHORAGE SOLAR,8/31/18,2018,"16901 MOUNT MC KINLEY VIEW, Anchorage, Alaska",2010115000,0,MT MCKINLEY VIEW ESTATES BLK   1 LT   1  G:3339,"30,680.00"
R18-2636,BldgAlter,PIKE CHRISTOPHER J  ,9/30/18,2018,"1308 ANNAPOLIS, Anchorage, Alaska",323105000,0,COLLEGE VILLAGE #10 BLK  28 LT   4  G:1632,"4,500.00"
R18-2669,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,9/30/18,2018,"3650 FURROW CREEK, Anchorage, Alaska",1704210000,0,MCMAHON BLK   3 LT  10  G:2835,"20,000.00"
R18-2689,BldgAlter,ANCHORAGE SOLAR,9/30/18,2018,"W 2908 34TH, Anchorage, Alaska",1008206000,0,TOPE LT   E  G:1627,"11,682.00"
R18-2690,BldgAlter,ANCHORAGE SOLAR,9/30/18,2018,"2561 LOVEJOY DRIVE, Anchorage, Alaska",416224000,0,ANCHOR PARK BLK   1 LT  18  G:1534,"13,216.00"
R18-2743,BldgAlter,ANCHORAGE SOLAR,10/31/18,2018,"1900 CHEROKEE WAY, Anchorage, Alaska",622349000,0,INDIAN HILLS #3 BLK   4 LT  12  G:1439,"15,060.00"
R18-2773,BldgAlter,ANCHORAGE SOLAR,10/31/18,2018,"3226 UPLAND, Anchorage, Alaska",705214000,0,HILAND TERRACE BLK   1 LT   9  G:1640,"25,606.00"
R20-1043,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,1/31/20,2020,"2200 BELMONT, Anchorage, Alaska",117361000,0,HUNTINGTON PARK #5A BLK   8 LT  20  G:1528,"17,000.00"
R20-1044,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,1/31/20,2020,"W 2304 MARSTON, Anchorage, Alaska",119505000,0,C L PLUMB LT   8  G:1526,"15,000.00"
C20-1223,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"E 3521 TUDOR, Anchorage, Alaska",802182000,0,ATHENIAN VILLAGE TR F-2A-2  G:1735,"78,000.00"
R20-1209,BldgAlter,ALASKA SOLAR LLC,3/31/20,2020,"7530 LABRADOR CIRCLE, Anchorage, Alaska",1107301000,0,SPORTSMENS POINT #3 BLK   4 LT   4  G:2124,"14,747.00"
R20-1210,BldgAlter,ALASKA SOLAR LLC,3/31/20,2020,"8900 JUPITER, Anchorage, Alaska",1501231000,0,ZODIAK MANOR ALASKA BLK   5 LT  18  G:2336,"25,487.00"
R20-1211,BldgAlter,ALASKA SOLAR LLC,3/31/20,2020,"E 2306 74TH, Anchorage, Alaska",1413240000,0,ALPINE VILLAGE BLK   5 LT  18A  G:2133,"16,877.00"
R20-1236,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"10830 KAMISHAK BAY, Anchorage, Alaska",1909103000,0,BAYSHORE WEST #2 BLK   4 LT  23  G:2626,"13,000.00"
R20-1237,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"2227 DOUGLAS DRIVE, Anchorage, Alaska",119122000,0,PARK BLK   M LT  22  G:1526,"18,000.00"
R20-1238,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"3181 MARATHON CIRCLE, Anchorage, Alaska",1909223000,0,BAYSHORE WEST #3 LT  31  G:2626,"18,000.00"
R20-1239,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"3800 WINTERSET, Anchorage, Alaska",910216000,0,LAKE OTIS PARK BLK   C LT   6  G:1733,"18,000.00"
R20-1240,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2020,"9102 SAHALEE, Anchorage, Alaska",1504416000,0,SAHALEE BLK   1 LT  42  G:2336,"13,000.00"
R20-1241,BldgAlter,ALASKA SOLAR LLC,3/31/20,2020,"18222 WERRE, Anchorage, Alaska",5123247000,0,T15N R1W SEC 18 LT 193B  G:1054,"13,888.00"
C20-1284,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"1801 O'MALLEY, Anchorage, Alaska",1606263000,0,COMMODORE PARK TR   D-1  G:2533,"39,060.00"
C20-1330,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,2020,"6407 ARCTIC SPUR, Anchorage, Alaska",1202140000,0,ARCTIC INDUSTRIAL #2 BLK   1 LTS  3 & 4  G:2029,"87,559.20"
R20-1291,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"7436 BERN, Anchorage, Alaska",1413313000,0,ALPINE VILLAGE BLK   4 LT   4  G:2133,"14,968.00"
R20-1292,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"14400 PRATOR, Anchorage, Alaska",1709301000,0,ASPEN RIDGE BLK   1 LT   1  G:3039,"23,761.00"
R20-1294,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"4936 VIRGO, Anchorage, Alaska",2009137000,0,SUSITNA VIEW ESTATES BLK   3 LT   6  G:3336,"10,958.00"
R20-1307,BldgAlter,MIDNIGHT SUN SOLAR LLC,4/30/20,2020,"E 3035 112TH, Anchorage, Alaska",1527150000,0,PTARMIGAN VIEW ESTATES LT   2  G:2634,"9,765.00"
R20-1338,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"8747 SAHALEE, Anchorage, Alaska",1501550000,0,SAHALEE PHASE 2 BLK   2 LT  28  G:2336,"20,194.00"
R20-1339,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"8720 JUPITER, Anchorage, Alaska",1501228000,0,ZODIAK MANOR ALASKA BLK   5 LT  21  G:2336,"11,996.00"
R20-1340,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"6212 PROMINENCE POINTE, Anchorage, Alaska",2010277000,0,PROMINENCE POINTE PH 7 BLK   4 LT   2  G:3338,"17,985.00"
R20-1341,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"3789 HENDERSON, Anchorage, Alaska",1408151000,0,GATEWAY BLK   1 LT  11  G:2135,"6,232.00"
R20-1342,BldgAlter,ALASKA SOLAR LLC,4/30/20,2020,"20618 EDWARD STREET, Anchorage, Alaska",5111162000,0,OUR MOUNTAIN BLK   2 LT   4  G:1361,"13,332.00"
R20-1394,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,2020,"3906 WESLEYAN, Anchorage, Alaska",515212000,0,CASTLE HEIGHTS BLK   1 LT  12  G:1737,"12,502.00"
R20-1395,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,2020,"10540 WHITBY, Anchorage, Alaska",1140429000,0,RESOLUTION POINTE PH 3 BLK  3A LT  26  G:2525,"25,100.00"
R20-1396,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,2020,"2220 SHORE DRIVE, Anchorage, Alaska",1910172000,0,SHORE CREST BLK   3 LT  16A  G:2728,"24,550.00"
